이산_제곱근(discrete_sqrt),이산 제곱근,discrete_sqrt,tier4
분리_집합(disjoint_set),분리 집합,disjoint_set,tier2
분할_정복(divide_and_conquer),분할 정복,divide_and_conquer,tier3
분할_정복을_사용한_최적화(divide_and_conquer_optimization),분할 정복을 사용한 최적화,divide_and_conquer_optimization,tier4
도미네이터_트리(dominator_tree),도미네이터 트리,dominator_tree,tier4
다이나믹_프로그래밍(dp),다이나믹 프로그래밍,dp,tier2
비트필드를_이용한_다이나믹_프로그래밍(dp_bitfield),비트필드를 이용한 다이나믹 프로그래밍,dp_bitfield,tier3
커넥션_프로파일을_이용한_다이나믹_프로그래밍(dp_connection_profile),커넥션 프로파일을 이용한 다이나믹 프로그래밍,dp_connection_profile,tier4
덱을_이용한_다이나믹_프로그래밍(dp_deque),덱을 이용한 다이나믹 프로그래밍,dp_deque,tier3
자릿수를_이용한_다이나믹_프로그래밍(dp_digit),자릿수를 이용한 다이나믹 프로그래밍,dp_digit,tier3
부분집합의_합_다이나믹_프로그래밍(dp_sum_over_subsets),부분집합의 합 다이나믹 프로그래밍,dp_sum_over_subsets,tier4
트리에서의_다이나믹_프로그래밍(dp_tree),트리에서의 다이나믹 프로그래밍,dp_tree,tier3
쌍대_그래프(dual_graph),쌍대 그래프,dual_graph,tier4
쌍대성(duality),쌍대성,duality,tier4
유클리드_호제법(euclidean),유클리드 호제법,euclidean,tier1
오일러_지표_(χ=V-E+F)(euler_characteristic),오일러 지표 (χ=V-E+F),euler_characteristic,tier3
오일러_피_함수(euler_phi),오일러 피 함수,euler_phi,tier3
오일러_경로_테크닉(euler_tour_technique),오일러 경로 테크닉,euler_tour_technique,tier3
오일러_경로(eulerian_path),오일러 경로,eulerian_path,tier2
분할_정복을_이용한_거듭제곱(exponentiation_by_squaring),분할 정복을 이용한 거듭제곱,exponentiation_by_squaring,tier2
확장_유클리드_호제법(extended_euclidean),확장 유클리드 호제법,extended_euclidean,tier3
고속_푸리에_변환(fft),고속 푸리에 변환,fft,tier4
플러드_필(flood_fill),플러드 필,flood_fill,tier2
최대_유량(flow),최대 유량,flow,tier3
플로이드–워셜(floyd_warshall),플로이드–워셜,floyd_warshall,tier2
페르마의_소정리(flt),페르마의 소정리,flt,tier2
함수형_그래프(functional_graph),함수형 그래프,functional_graph,tier3
게임_이론(game_theory),게임 이론,game_theory,tier2
가우스_소거법(gaussian_elimination),가우스 소거법,gaussian_elimination,tier3
일반적인_매칭(general_matching),일반적인 매칭,general_matching,tier5
생성_함수(generating_function),생성 함수,generating_function,tier4
도형에서의_불_연산(geometric_boolean_operations),도형에서의 불 연산,geometric_boolean_operations,tier5
기하학(geometry),기하학,geometry,tier1
3차원_기하학(geometry_3d),3차원 기하학,geometry_3d,tier1
4차원_이상의_기하학(geometry_hyper),4차원 이상의 기하학,geometry_hyper,tier2
경사_하강법(gradient_descent),경사 하강법,gradient_descent,tier3
그래프_탐색(graph_traversal),그래프 탐색,graph_traversal,tier2
그래프_이론(graphs),그래프 이론,graphs,tier2
그리디_알고리즘(greedy),그리디 알고리즘,greedy,tier1
그린_정리(green),그린 정리,green,tier4
하켄부시_게임(hackenbush),하켄부시 게임,hackenbush,tier5
반평면_교집합(half_plane_intersection),반평면 교집합,half_plane_intersection,tier4
홀의_결혼_정리(hall),홀의 결혼 정리,hall,tier4
해시를_사용한_집합과_맵(hash_set),해시를 사용한 집합과 맵,hash_set,tier1
해싱(hashing),해싱,hashing,tier3
휴리스틱(heuristics),휴리스틱,heuristics,tier2
히르쉬버그(hirschberg),히르쉬버그,hirschberg,tier4
Heavy-light_분할(hld),Heavy-light 분할,hld,tier4
헝가리안(hungarian),헝가리안,hungarian,tier3
구현(implementation),구현,implementation,tier0
포함_배제의_원리(inclusion_and_exclusion),포함 배제의 원리,inclusion_and_exclusion,tier2
키타마사(kitamasa),키타마사,kitamasa,tier4
KMP(kmp),KMP,kmp,tier3
배낭_문제(knapsack),배낭 문제,knapsack,tier2
크누스_최적화(knuth),크누스 최적화,knuth,tier4
크누스_X(knuth_x),크누스 X,knuth_x,tier4
느리게_갱신되는_세그먼트_트리(lazyprop),느리게 갱신되는 세그먼트 트리,lazyprop,tier3
최소_공통_조상(lca),최소 공통 조상,lca,tier3
린드스트롬–게셀–비엔노_보조정리(lgv),린드스트롬–게셀–비엔노 보조정리,lgv,tier5
선분_교차_판정(line_intersection),선분 교차 판정,line_intersection,tier2
선형대수학(linear_algebra),선형대수학,linear_algebra,tier3
선형_계획법(linear_programming),선형 계획법,linear_programming,tier4
기댓값의_선형성(linearity_of_expectation),기댓값의 선형성,linearity_of_expectation,tier2
링크/컷_트리(link_cut_tree),링크/컷 트리,link_cut_tree,tier4
연결_리스트(linked_list),연결 리스트,linked_list,tier2
가장_긴_증가하는_부분_수열:_O(n_log_n)(lis),가장 긴 증가하는 부분 수열: O(n log n),lis,tier2
지수승강_보조정리(lte),지수승강 보조정리,lte,tier4
뤼카_정리(lucas),뤼카 정리,lucas,tier3
보이어–무어_다수결_투표(majority_vote),보이어–무어 다수결 투표,majority_vote,tier2
매내처(manacher),매내처,manacher,tier3
수학(math),수학,math,tier1
매트로이드(matroid),매트로이드,matroid,tier5
최소_비용_최대_유량(mcmf),최소 비용 최대 유량,mcmf,tier3
머지_소트_트리(merge_sort_tree),머지 소트 트리,merge_sort_tree,tier3
최대_유량_최소_컷_정리(mfmc),최대 유량 최소 컷 정리,mfmc,tier3
밀러–라빈_소수_판별법(miller_rabin),밀러–라빈 소수 판별법,miller_rabin,tier3
최소_외접원(min_enclosing_circle),최소 외접원,min_enclosing_circle,tier3
중간에서_만나기(mitm),중간에서 만나기,mitm,tier2
mo's(mo),mo's,mo,tier3
뫼비우스_반전_공식(mobius_inversion),뫼비우스 반전 공식,mobius_inversion,tier4
모듈로_곱셈_역원(modular_multiplicative_inverse),모듈로 곱셈 역원,modular_multiplicative_inverse,tier2
단조_큐를_이용한_최적화(monotone_queue_optimization),단조 큐를 이용한 최적화,monotone_queue_optimization,tier4
최소_스패닝_트리(mst),최소 스패닝 트리,mst,tier2
다차원_세그먼트_트리(multi_segtree),다차원 세그먼트 트리,multi_segtree,tier3
다중_대입값_계산(multipoint_evaluation),다중 대입값 계산,multipoint_evaluation,tier5
정수론(number_theory),정수론,number_theory,tier1
수치해석(numerical_analysis),수치해석,numerical_analysis,tier3
오프라인_동적_연결성_판정(offline_dynamic_connectivity),오프라인 동적 연결성 판정,offline_dynamic_connectivity,tier4
오프라인_쿼리(offline_queries),오프라인 쿼리,offline_queries,tier3
회문_트리(palindrome_tree),회문 트리,palindrome_tree,tier4
매개_변수_탐색(parametric_search),매개 변수 탐색,parametric_search,tier2
파싱(parsing),파싱,parsing,tier1
병렬_이분_탐색(pbs),병렬 이분 탐색,pbs,tier4
순열_사이클_분할(permutation_cycle_decomposition),순열 사이클 분할,permutation_cycle_decomposition,tier2
물리학(physics),물리학,physics,tier1
픽의_정리(pick),픽의 정리,pick,tier2
비둘기집_원리(pigeonhole_principle),비둘기집 원리,pigeonhole_principle,tier1
평면_그래프(planar_graph),평면 그래프,planar_graph,tier3
볼록_다각형_내부의_점_판정(point_in_convex_polygon),볼록 다각형 내부의 점 판정,point_in_convex_polygon,tier3
오목_다각형_내부의_점_판정(point_in_non_convex_polygon),오목 다각형 내부의 점 판정,point_in_non_convex_polygon,tier3
폴라드_로(pollard_rho),폴라드 로,pollard_rho,tier3
다각형의_넓이(polygon_area),다각형의 넓이,polygon_area,tier2
다항식_보간법(polynomial_interpolation),다항식 보간법,polynomial_interpolation,tier4
런타임_전의_전처리(precomputation),런타임 전의 전처리,precomputation,tier1
누적_합(prefix_sum),누적 합,prefix_sum,tier2
소수_판정(primality_test),소수 판정,primality_test,tier1
우선순위_큐(priority_queue),우선순위 큐,priority_queue,tier2
확률론(probability),확률론,probability,tier2
퍼시스턴트_세그먼트_트리(pst),퍼시스턴트 세그먼트 트리,pst,tier4
피타고라스_정리(pythagoras),피타고라스 정리,pythagoras,tier0
큐(queue),큐,queue,tier1
라빈–카프(rabin_karp),라빈–카프,rabin_karp,tier3
무작위화(randomization),무작위화,randomization,tier2
레드-블랙_트리(rb_tree),레드-블랙 트리,rb_tree,tier5
재귀(recursion),재귀,recursion,tier1
정규_표현식(regex),정규 표현식,regex,tier1
로프(rope),로프,rope,tier4
회전하는_캘리퍼스(rotating_calipers),회전하는 캘리퍼스,rotating_calipers,tier3
강한_연결_요소(scc),강한 연결 요소,scc,tier3
세그먼트_트리(segtree),세그먼트 트리,segtree,tier3
최단_경로(shortest_path),최단 경로,shortest_path,tier2
에라토스테네스의_체(sieve),에라토스테네스의 체,sieve,tier1
담금질_기법(simulated_annealing),담금질 기법,simulated_annealing,tier3
시뮬레이션(simulation),시뮬레이션,simulation,tier0
슬라이딩_윈도우(sliding_window),슬라이딩 윈도우,sliding_window,tier1
함수_개형을_이용한_최적화(slope_trick),함수 개형을 이용한 최적화,slope_trick,tier4
작은_집합에서_큰_집합으로_합치는_테크닉(smaller_to_larger),작은 집합에서 큰 집합으로 합치는 테크닉,smaller_to_larger,tier3
정렬(sorting),정렬,sorting,tier1
희소_배열(sparse_table),희소 배열,sparse_table,tier3
스플레이_트리(splay_tree),스플레이 트리,splay_tree,tier4
스프라그–그런디_정리(sprague_grundy),스프라그–그런디 정리,sprague_grundy,tier3
제곱근_분할법(sqrt_decomposition),제곱근 분할법,sqrt_decomposition,tier3
안정_결혼_문제(stable_marriage),안정 결혼 문제,stable_marriage,tier3
스택(stack),스택,stack,tier1
통계학(statistics),통계학,statistics,tier2
스토어–바그너(stoer_wagner),스토어–바그너,stoer_wagner,tier4
문자열(string),문자열,string,tier0
접미사_배열과_LCP_배열(suffix_array),접미사 배열과 LCP 배열,suffix_array,tier3
접미사_트리(suffix_tree),접미사 트리,suffix_tree,tier5
스위핑(sweeping),스위핑,sweeping,tier2
삼분_탐색(ternary_search),삼분 탐색,ternary_search,tier2
탑_트리(top_tree),탑 트리,top_tree,tier5
위상_정렬(topological_sorting),위상 정렬,topological_sorting,tier2
트리_압축(tree_compression),트리 압축,tree_compression,tier3
트리_분할(tree_decomposition),트리 분할,tree_decomposition,tier4
트리_동형_사상(tree_isomorphism),트리 동형 사상,tree_isomorphism,tier3
트리를_사용한_집합과_맵(tree_set),트리를 사용한 집합과 맵,tree_set,tier2
트리(trees),트리,trees,tier2
트라이(trie),트라이,trie,tier3
외판원_순회_문제(tsp),외판원 순회 문제,tsp,tier2
두_포인터(two_pointer),두 포인터,two_pointer,tier2
utf-8_입력_처리(utf8),utf-8 입력 처리,utf8,tier0
보로노이_다이어그램(voronoi),보로노이 다이어그램,voronoi,tier3
z(z),z,z,tier3
